source,title,description,content,author,publishedAt,url
San Francisco Chronicle,Scott Wiener says harassment made it ‘impossible’ to stay at S.F. Trans March - San Francisco Chronicle,State Sen. Scott Wiener says harassment and intimidation at San Francisco’s Trans March forced him to leave Dolores Park.,"State Sen. Scott Wiener was accosted by several protesters Friday when he tried to participate in the Trans March in San Francisco. 
Scott Strazzante/S.F. Chronicle
State Sen. Scott Wiener, who has… [+4425 chars]",St. John Barned-Smith,2026-06-28T05:08:10Z,https://www.sfchronicle.com/sf/article/scott-wiener-trans-march-harassment-22323541.php
Suntimes.com,"Horoscope for Sunday, June 28, 2026 - Chicago Sun-Times",,"Moon Alert
Caution! Avoid shopping (except food and gas) and important decisions for the day. The moon is in Sagittarius.
Aries (March 21-April 19)
 You are creative and can do almost anything wit… [+3712 chars]",Georgia Nicols,2026-06-28T05:01:00Z,https://chicago.suntimes.com/horoscopes/2026/06/28/horoscopes-today-sunday-june-28-2026
Politico,Trump gets the complete domination he wanted in Louisiana - Politico,"Rep. Julia Letlow, his preferred candidate, won the GOP runoff for his longtime rival Bill Cassidy’s Senate seat.","Letlows win sends another Trump ally to Washington, continuing the MAGA takeover of the party, and shows the continuing power of Trumps blessing that lifts candidates even when others have conservati… [+4153 chars]",Liz Crampton,2026-06-28T04:34:34Z,https://www.politico.com/news/2026/06/28/trump-maga-louisiana-senate-victory-00979205
MMA Fighting,"PFL San Diego salaries: Main event fighter made $10,000 in losing effort - MMA Fighting",Two fighters made six figures at PFL San Diego on Saturday night.,"A.J. McKee and Liz Carmouche led all fighter salaries for the PFL San Diego event on Saturday night.
The salaries were provided to MMA Fighting by the California State Athletic Commission.
At the t… [+1818 chars]",Damon Martin,2026-06-28T04:09:00Z,https://www.mmafighting.com/pfl/496846/pfl-san-diego-salaries-main-event-fighter-made-10000-in-losing-effort
WLKY Louisville,"Beshear declares state of emergency as flash flooding worsens, death toll climbs - WLKY",Gov. Andy Beshear has declared a state of emergency as flash flooding and severe weather continue to impact much of Kentucky.,"FRANKFORT, Ky. —Gov. Andy Beshear has declared a state of emergency as flash flooding and severe weather continue to impact much of Kentucky.
See the governor's announcement below.
The declaration … [+1889 chars]",Jennifer Osting,2026-06-28T03:46:00Z,https://www.wlky.com/article/kentucky-state-emergency-flash-flooding-severe-weather/71756774
The Washington Post,"Trump taps Lance Schroyer to lead ICE, agency at center of deportation campaign - The Washington Post",Trump said he is nominating the former Oklahoma state trooper as the head of the agency driving his controversial effort to detain and deport millions of undocumented immigrants.,"President Donald Trump said Saturday he plans to nominate Lance Schroyer, a former Oklahoma state trooper, to be the next director of U.S. Immigration and Customs Enforcement, a federal agency at the… [+54 chars]","Maegan Vazquez, Maria Sacchetti",2026-06-28T02:29:37Z,https://www.washingtonpost.com/immigration/2026/06/27/trump-taps-former-oklahoma-state-trooper-lance-schroyer-lead-ice/
ESPN,"2026 NHL draft grades: Best, worst, most surprising picks - ESPN",Which teams added the most value this weekend? Who whiffed badly? We grade all 32 here.,"The 2026 NHL draft is complete and there were some truly wonderful moments. From the Ruck twins going together to the Pittsburgh Penguins, to the reaction of Jaxon Cover's family to the Cayman Island… [+55275 chars]",Rachel Kryshak,2026-06-27T23:30:00Z,https://www.espn.com/nhl/story/_/id/49201091/nhl-draft-2026-grades-best-players-top-prospects-picks-value
Fox News,Breaking down the United States' path to the 2026 FIFA World Cup final as knockout play nears - Fox News,"The USMNT faces Bosnia and Herzegovina first, but Belgium, Spain, and other global powers await in a knockout path that could make World Cup history.","The USMNT is flying high as Group D winners. Winning their first two games was historic. The nation is oozing with patriotism and ready to ride this wave all the way to the World Cup Final, but the r… [+5436 chars]",,2026-06-27T22:40:07Z,https://www.foxnews.com/outkick-sports/breaking-united-states-path-2026-fifa-world-cup-final-knockout-play-nears
New York Post,New magic mushroom makes users see tiny ‘gnome’ people — scientists have no idea how it’s doing that - New York Post,Magic mushrooms? You have gnome idea.,"Magic mushrooms? You have gnome idea. 
Move over psilocybin there’s a new psychoactive agent on the scene. A study published last month in Mycologia has unearthed new details on how one freaky fungu… [+4459 chars]",Hannah Sparks,2026-06-27T19:51:00Z,https://nypost.com/2026/06/27/science/new-details-on-magic-mushroom-that-makes-users-see-tiny-people/
PhoneArena,Google testing iPhone feature to add to Pixel smartphones - PhoneArena,Google might soon expand on a current Pixel capability matching the iOS version of it.,"A discussion is a place, where people can voice their opinion, no matter if it
 is positive, neutral or negative. However, when posting, one must stay true to the topic, and not just share some
 ra… [+1082 chars]",Alan Friedman,2026-06-27T19:49:50Z,https://www.phonearena.com/news/google-testing-iphone-feature-for-pixel_id181453
